120
0	69	6	8	23	38	23	37	58	92	67	47	57	86	42	76	88	21	67	20	97	8	88	30	79	96	43	34	81	43	68	59	55	43	92	65	90	54	84	90	41	3	46	28	63	39	51	20	80	50	22	70	92	87	32	22	21	75	16	33	31	36	45	2	64	36	54	98	22	22	29	2	78	99	3	85	55	2	70	49	94	41	52	42	18	94	28	12	27	22	15	76	55	51	88	10	85	76	31	45	74	65	14	64	88	44	97	28	20	31	88	94	31	23	94	14	89	45	20	64	
69	0	99	86	11	74	17	24	22	70	49	95	56	66	49	93	4	77	23	78	45	99	32	70	64	64	56	96	44	32	68	75	26	19	3	23	32	96	29	39	79	47	52	92	84	51	37	100	67	88	67	36	22	65	78	83	35	77	63	64	49	100	34	41	36	28	77	57	100	41	19	3	94	84	90	40	64	18	73	71	82	89	4	95	93	23	26	17	9	35	50	62	21	48	81	19	46	23	83	48	25	37	99	77	48	1	60	43	63	82	77	6	1	16	83	67	82	31	96	77	
6	99	0	1	81	44	68	26	6	52	37	65	81	55	91	39	72	61	41	28	66	52	81	46	84	16	29	50	86	50	68	32	8	89	87	35	36	37	60	85	61	7	11	36	21	56	55	3	95	13	59	59	88	95	66	97	91	40	47	26	22	86	81	16	67	19	55	77	67	20	19	13	98	86	8	81	7	50	76	32	53	47	51	45	90	13	81	23	3	81	90	72	96	3	64	93	18	19	8	60	50	55	29	16	27	45	49	93	83	97	94	99	50	4	56	25	72	31	12	60	
8	86	1	0	12	21	36	2	25	14	71	84	96	6	32	67	78	97	46	86	23	24	79	6	38	24	17	100	55	70	68	15	79	3	81	30	39	89	22	36	68	93	99	28	69	6	93	16	81	34	93	44	19	11	55	96	39	93	92	90	95	19	29	73	2	87	49	15	31	65	36	71	29	86	76	94	62	33	80	99	42	22	32	34	45	11	60	79	95	96	100	14	30	1	72	92	41	69	75	51	33	77	17	43	29	63	6	38	62	81	69	17	82	81	25	87	92	74	61	9	
23	11	81	12	0	29	55	61	7	77	54	80	47	77	71	61	71	15	2	95	27	59	70	56	39	53	28	19	78	3	64	73	28	12	1	77	21	9	95	63	62	51	60	95	79	65	76	41	90	11	98	80	76	59	10	67	69	12	64	80	97	20	89	79	40	18	13	17	49	79	4	98	62	24	57	71	75	77	36	20	89	49	43	41	13	50	55	52	26	46	67	86	62	57	73	85	28	53	40	73	38	64	71	93	48	69	24	21	29	58	66	6	100	51	91	98	3	23	9	52	
38	74	44	21	29	0	59	19	92	22	39	83	33	97	19	53	64	93	75	31	82	82	84	81	93	41	37	34	52	43	14	67	84	91	53	22	75	54	15	95	11	32	94	13	51	64	70	51	16	9	52	60	22	95	93	88	12	15	44	44	41	47	80	45	8	43	76	99	55	9	24	99	80	40	7	39	72	34	57	38	75	72	71	44	44	41	20	10	8	47	62	65	77	65	5	23	37	72	60	83	17	72	46	46	3	93	63	66	13	27	47	34	71	23	69	50	98	24	68	96	
23	17	68	36	55	59	0	63	92	46	27	76	22	86	3	22	72	64	49	27	4	30	17	32	61	85	41	85	31	32	92	47	54	97	26	66	87	66	57	37	27	93	33	83	6	74	16	99	64	57	86	50	65	80	87	3	26	43	92	95	37	30	18	31	45	77	65	63	48	61	30	4	85	39	67	72	77	50	87	84	87	82	88	18	55	27	24	32	29	6	92	25	75	78	55	63	92	37	70	37	85	66	50	89	43	26	54	88	67	82	99	13	99	56	2	27	74	23	92	87	
37	24	26	2	61	19	63	0	29	24	56	82	43	43	100	35	82	82	57	99	55	76	9	36	8	41	69	71	39	61	36	66	78	34	13	74	93	82	52	17	40	17	44	74	73	43	83	55	52	20	50	95	46	84	99	66	67	6	61	66	66	72	6	75	90	49	19	17	89	1	55	84	92	48	96	73	7	58	27	43	95	38	58	4	17	2	5	17	95	22	56	7	53	86	14	88	85	37	67	54	70	11	49	69	7	86	65	19	84	25	49	71	20	61	28	2	66	33	70	46	
58	22	6	25	7	92	92	29	0	21	28	32	4	73	4	23	65	99	45	9	7	20	58	47	69	19	7	78	52	47	68	95	95	58	52	21	29	55	74	2	54	93	36	37	91	9	45	62	86	94	57	82	38	87	50	84	26	21	94	44	40	77	38	7	16	96	88	44	61	89	76	38	28	15	36	1	74	40	22	49	12	76	71	60	33	58	16	28	2	92	39	78	19	58	75	21	16	33	13	45	71	72	16	73	35	70	54	66	88	53	7	38	17	11	16	2	18	91	80	72	
92	70	52	14	77	22	46	24	21	0	72	62	8	80	93	10	13	99	100	30	50	88	97	80	25	67	25	4	26	83	65	69	23	73	95	49	3	9	48	12	53	39	60	17	38	90	27	88	6	99	49	27	91	14	12	56	96	5	65	7	61	85	40	12	22	56	16	59	77	59	75	50	36	45	73	58	75	61	55	22	66	45	94	24	42	6	85	49	77	33	3	96	43	11	47	10	14	25	74	64	33	11	87	4	92	3	69	13	75	24	42	38	98	79	50	69	44	28	50	11	
