20
0	3.60555	9.43398	5.83095	4	6.40312	4.12311	3.16228	7.2111	4.47214	4	2	4.47214	5.38516	2.23607	7.81025	4.12311	9.21954	4.24264	2	
3.60555	0	8.60233	5.38516	2.23607	7.07107	1.41421	5.38516	6.7082	4.12311	6.7082	5	1	2	4.47214	7.61577	6.32456	7.2111	5	2.23607	
9.43398	8.60233	0	3.60555	6.40312	4	7.2111	7.28011	2.23607	5	8.06226	8.544	8.06226	7.61577	7.61577	2	7.07107	3.16228	5.38516	7.81025	
5.83095	5.38516	3.60555	0	3.16228	2.23607	4.12311	4	1.41421	1.41421	5.09902	5.09902	5.09902	5	4.12311	2.23607	4.12311	4.12311	2	4.24264	
4	2.23607	6.40312	3.16228	0	5	1	4.24264	4.47214	2	5.65685	4.47214	2	2.23607	3.60555	5.38516	5	5.38516	3.16228	2	
6.40312	7.07107	4	2.23607	5	0	6	3.60555	2.23607	3	4.12311	5	7	7.07107	4.24264	2	3.16228	5.83095	2.23607	5.38516	
4.12311	1.41421	7.2111	4.12311	1	6	0	5	5.38516	3	6.40312	5	1	1.41421	4.24264	6.32456	5.83095	5.83095	4.12311	2.23607	
3.16228	5.38516	7.28011	4	4.24264	3.60555	5	0	5.09902	3.16228	1.41421	1.41421	5.83095	6.40312	1	5.38516	1	8.06226	2	3.16228	
7.2111	6.7082	2.23607	1.41421	4.47214	2.23607	5.38516	5.09902	0	2.82843	6	6.32456	6.32456	6.08276	5.38516	1	5	3.60555	3.16228	5.65685	
4.47214	4.12311	5	1.41421	2	3	3	3.16228	2.82843	0	4.47214	4	4	4.12311	3	3.60555	3.60555	5	1.41421	2.82843	
4	6.7082	8.06226	5.09902	5.65685	4.12311	6.40312	1.41421	6	4.47214	0	2	7.2111	7.81025	2.23607	6.08276	1	9.21954	3.16228	4.47214	
2	5	8.544	5.09902	4.47214	5	5	1.41421	6.32456	4	2	0	5.65685	6.40312	1	6.7082	2.23607	9	3.16228	2.82843	
4.47214	1	8.06226	5.09902	2	7	1	5.83095	6.32456	4	7.2111	5.65685	0	1	5	7.28011	6.7082	6.40312	5.09902	2.82843	
5.38516	2	7.61577	5	2.23607	7.07107	1.41421	6.40312	6.08276	4.12311	7.81025	6.40312	1	0	5.65685	7.07107	7.2111	5.65685	5.38516	3.60555	
2.23607	4.47214	7.61577	4.12311	3.60555	4.24264	4.24264	1	5.38516	3	2.23607	1	5	5.65685	0	5.83095	2	8	2.23607	2.23607	
7.81025	7.61577	2	2.23607	5.38516	2	6.32456	5.38516	1	3.60555	6.08276	6.7082	7.28011	7.07107	5.83095	0	5.09902	4.24264	3.60555	6.40312	
4.12311	6.32456	7.07107	4.12311	5	3.16228	5.83095	1	5	3.60555	1	2.23607	6.7082	7.2111	2	5.09902	0	8.24621	2.23607	4.12311	
9.21954	7.2111	3.16228	4.12311	5.38516	5.83095	5.83095	8.06226	3.60555	5	9.21954	9	6.40312	5.65685	8	4.24264	8.24621	0	6.08276	7.28011	
4.24264	5	5.38516	2	3.16228	2.23607	4.12311	2	3.16228	1.41421	3.16228	3.16228	5.09902	5.38516	2.23607	3.60555	2.23607	6.08276	0	3.16228	
2	2.23607	7.81025	4.24264	2	5.38516	2.23607	3.16228	5.65685	2.82843	4.47214	2.82843	2.82843	3.60555	2.23607	6.40312	4.12311	7.28011	3.16228	0	
