100
0	69	19	80	22	37	56	69	97	15	21	6	32	75	64	95	38	58	59	40	28	21	7	85	15	4	34	4	91	100	82	55	65	90	29	79	16	54	62	12	14	28	8	22	40	70	6	27	56	98	15	78	93	21	7	76	49	16	73	25	38	3	94	58	14	43	1	44	25	56	53	42	51	18	5	19	50	95	6	78	4	30	54	4	37	63	26	88	100	67	97	47	92	45	16	10	65	49	65	75	
69	0	66	83	72	85	69	39	10	20	13	52	92	54	88	63	68	88	5	62	70	39	43	84	54	79	79	86	48	92	94	75	16	82	15	68	47	47	95	55	25	87	42	36	44	81	17	52	89	71	37	98	22	62	99	36	60	99	59	51	10	77	50	97	81	71	71	70	54	57	70	72	13	82	36	100	86	5	82	98	41	29	60	47	18	80	91	69	31	55	10	95	2	50	89	35	54	20	59	77	
19	66	0	52	30	42	48	5	7	88	94	27	59	41	7	53	9	58	10	74	3	88	13	80	33	1	95	8	58	10	58	62	79	22	73	83	36	94	46	31	96	46	96	25	62	26	73	47	93	40	54	22	57	29	36	17	87	63	29	93	28	50	10	61	97	1	71	71	61	55	43	86	89	17	82	85	20	82	60	16	3	42	36	10	60	95	89	23	75	45	99	71	7	20	13	7	29	92	10	54	
80	83	52	0	82	92	26	30	64	97	15	32	91	57	14	49	92	51	43	34	42	42	64	7	91	90	73	72	100	73	1	92	1	10	59	85	59	14	63	91	31	76	27	100	88	74	25	68	88	84	59	43	27	97	33	43	100	64	73	74	27	37	21	36	71	67	12	36	40	4	62	93	8	95	74	47	75	62	61	27	19	44	24	95	21	96	80	77	1	23	89	7	64	11	62	59	72	64	27	27	
22	72	30	82	0	24	51	16	60	45	93	9	3	4	92	68	13	16	28	79	35	86	17	34	12	32	16	73	13	71	35	26	81	36	25	24	59	33	86	24	16	99	59	10	58	78	9	36	77	17	88	23	56	68	77	67	87	99	15	31	50	63	26	59	86	67	97	49	14	73	46	31	50	93	48	88	74	91	64	37	73	24	67	16	64	1	67	97	12	79	79	5	29	42	72	89	27	4	53	44	
37	85	42	92	24	0	94	5	43	59	16	57	30	44	37	85	18	81	48	46	33	83	21	70	53	86	86	20	97	62	69	94	36	82	18	93	57	13	45	40	96	46	35	21	69	44	78	57	71	30	18	95	80	39	61	82	39	9	81	2	76	31	48	60	23	89	40	8	92	54	33	48	30	4	92	86	90	47	77	91	62	51	67	18	85	64	10	99	74	51	65	12	85	67	85	99	40	99	78	70	
56	69	48	26	51	94	0	6	25	37	11	80	23	5	24	5	6	62	58	40	29	39	32	59	99	3	31	78	43	38	40	84	22	16	61	76	17	7	95	64	50	84	71	87	41	24	75	49	72	81	48	92	54	14	26	96	11	27	11	10	25	68	44	84	76	29	8	55	28	42	6	94	75	88	86	30	70	100	83	51	53	58	3	15	33	4	22	16	96	52	91	6	85	87	85	25	38	92	97	8	
69	39	5	30	16	5	6	0	56	93	29	43	46	8	69	34	36	80	27	26	21	5	20	44	79	53	81	32	46	61	43	76	20	92	31	4	7	90	32	44	71	71	90	20	34	84	83	27	45	78	24	51	45	78	15	24	22	38	98	12	82	22	26	69	73	13	13	77	52	21	73	42	27	15	90	52	40	76	82	12	76	41	62	58	84	22	24	6	33	33	75	47	83	15	86	76	32	47	5	51	
97	10	7	64	60	43	25	56	0	27	66	32	91	83	71	97	64	90	56	36	34	90	45	29	70	95	23	34	47	28	11	46	21	94	40	85	27	30	87	81	31	54	26	40	86	12	42	79	32	79	80	70	76	26	70	53	99	28	54	90	15	72	13	52	76	82	9	76	26	42	59	18	40	17	79	18	96	65	36	79	91	52	21	96	63	32	92	93	87	97	4	52	13	36	77	1	41	47	19	63	
15	20	88	97	45	59	37	93	27	0	54	92	93	32	95	23	86	70	96	38	57	42	69	59	97	10	62	36	19	18	23	10	75	68	90	4	9	41	39	49	48	69	95	13	75	70	4	75	28	88	39	3	77	13	83	7	45	63	14	11	59	28	30	65	21	42	65	73	76	83	48	77	21	72	44	16	67	22	62	44	96	16	81	81	29	9	73	96	50	61	62	40	84	63	82	96	41	26	35	18	
