50
0	9	59	43.0116	27.2947	80	67.1193	25.0799	13.1529	79.0569	32.0156	3.60555	53.0377	75.06	53.0094	19.105	72	3.16228	17	63.1269	43.1856	15	13	7.28011	29.1548	23.0868	35.1283	6.7082	53.1507	70	31.1448	65.0077	30.2655	4.12311	11.7047	14	8.06226	69.0652	12.0416	55.0364	12.1655	55.0818	1	30.0666	14	40.0125	37.2156	69.1158	84.006	39.0128	
9	0	68	52.0096	36.2215	89	76.1052	34.0588	22.0907	88.0511	41.0122	11.4018	62.0322	84.0536	62.0081	28.0713	81	6.08276	26	72.111	52.1536	24	22	16.1245	38.1182	32.0624	44.1022	4.24264	62.1289	79	40.1123	74.0068	39.2046	5.09902	4.47214	23	1.41421	78.0577	3.16228	64.0312	3.60555	64.0703	8	39.0512	5	49.0102	46.1736	78.1025	93.0054	48.0104	
59	68	0	16.0312	32.249	21	8.94427	34.0588	46.0435	20.2237	27.0185	57.0789	6.32456	16.2788	6.08276	40.05	13	62.0081	42	5.65685	16.4924	44	46	52.0384	30.1496	36.0555	24.1868	65.0692	7.2111	11	28.1603	6.08276	29.2746	63.0079	70.1142	45	67.0075	10.4403	71.007	4.47214	71.0282	5	60	29.0689	73	19.0263	22.3607	10.7703	25.02	20.025	
43.0116	52.0096	16.0312	0	16.2788	37.0135	24.1868	18.0278	30.0167	36.0555	11	41.0488	10.0499	32.0624	10	24.0208	29.0172	46	26.0192	20.2237	3	28.0179	30.0167	36.0139	14.1421	20.025	8.24621	49.0408	10.4403	27.0185	12.1655	22	13.3417	47	54.0833	29.0172	51	26.0768	55	12.0416	55.0091	12.1655	44.0114	13.0384	57.0088	3	6.7082	26.1725	41	4	
27.2947	36.2215	32.249	16.2788	0	53.1507	40	2.82843	14.1421	52.0096	5.83095	25.02	26.0768	48.0104	26.1725	8.24621	45.1774	30.1496	10.7703	36	16	12.6491	14.5602	20.0998	2.23607	4.47214	8.06226	33.0151	26	43.1856	4.12311	38.1182	3	31.1448	38	13.6015	35.1283	42.0119	39.1152	28.0713	39.0512	28.0179	28.2843	3.60555	41.1947	13.3417	10	42	57.0789	12.3693	
80	89	21	37.0135	53.1507	0	13.6015	55.0364	67.0298	3.16228	48.0104	78.0577	27.074	5.83095	27.0185	61.0328	8	83.006	63	17.4642	37.2156	65	67	73.0274	51.0882	57.0351	45.0999	86.0523	27.2947	10	49.0918	15.0333	50.1597	84.006	91.0879	66	88.0057	11.4018	92.0054	25.0799	92.0217	25.1794	81	50.04	94	40.0125	43.1856	11.7047	4.12311	41.0122	
67.1193	76.1052	8.94427	24.1868	40	13.6015	0	42.0476	54.037	12.0416	35.1283	65.0077	14.1421	8.06226	14.3178	48.0416	6.40312	70.0643	50.1597	4	24	52.1536	54.1479	60.0333	38.0132	44.0454	32.0156	73.0068	14	5	36.0139	3.60555	37	71.0634	78	53.1507	75.06	2.23607	79.0569	12.1655	79.0253	12.0416	68.1175	37.054	81.0987	27.1662	30	2	17.2627	28.1603	
25.0799	34.0588	34.0588	18.0278	2.82843	55.0364	42.0476	0	12	54.0093	7.07107	23.0217	28	50.01	28.0179	6	47.0425	28.0179	8.24621	38.0526	18.1108	10.198	12.1655	18	4.12311	2	10.0499	31.0161	28.0713	45.0444	6.08276	40.0125	5.38516	29.0172	36.0555	11.1803	33.0151	44.0114	37.0135	30	37	30.0167	26.0768	5	39.0512	15.0333	12.1655	44.0454	59.0085	14.0357	
13.1529	22.0907	46.0435	30.0167	14.1421	67.0298	54.037	12	0	66.0076	19.0263	11.0454	40	62.0081	40.0125	6	59.0339	16.0312	4.47214	50.04	30.0666	2.82843	2	6	16.0312	10	22.0227	19.0263	40.05	57.0351	18.0278	52.0096	17.1172	17.0294	24.0832	2.23607	21.0238	56.0089	25.02	42	25	42.0119	14.1421	17	27.074	27.0185	24.0832	56.0357	71.007	26.0192	
79.0569	88.0511	20.2237	36.0555	52.0096	3.16228	12.0416	54.0093	66.0076	0	47.0425	77	26.0192	4	26.0768	60.0083	7.61577	82.0244	62.0725	16.0312	36.0139	64.0703	66.0681	72.0069	50	56.0089	44	85	26.0192	9.48683	48	14.1421	49.0102	83.0241	90.0056	65.0692	87.023	10	91.022	24.0208	91.0055	24	80.0562	49.0102	93.0484	39.0512	42.0119	10.0499	5.38516	40.05	
32.0156	41.0122	27.0185	11	5.83095	48.0104	35.1283	7.07107	19.0263	47.0425	0	30.0666	21.0238	43.0465	21	13.0384	40.0125	35	15.0333	31.1448	11.4018	17.0294	19.0263	25.02	3.60555	9.05539	3.60555	38.0526	21.2132	38.0132	2.23607	33	3.60555	36	43.1045	18.0278	40	37.054	44	23.0217	44.0114	23.0868	33.0151	2.23607	46.0109	8	5.83095	37.1214	52	7	
3.60555	11.4018	57.0789	41.0488	25.02	78.0577	65.0077	23.0217	11.0454	77	30.0666	0	51.0098	73	51.0392	17.0294	70.0643	5.38516	15.2971	61.0082	41.0122	13.3417	11.4018	5.09902	27	21.0238	33	8	51.0098	68.0661	29	63.0317	28.0179	6.32456	13.0384	12.3693	10.198	67	14.1421	53.0094	14.0357	53	4.24264	28.0179	16.2788	38.0526	35.0143	67.0075	82.0244	37.054	
53.0377	62.0322	6.32456	10.0499	26.0768	27.074	14.1421	28	40	26.0192	21.0238	51.0098	0	22.0227	1	34	19.105	56.0089	36.0555	10.198	10.198	38.0526	40.05	46	24.0208	30	18.0278	59.0085	2	17.1172	22.0227	12.0416	23.0868	57.0088	64.0312	39.0512	61.0082	16.0312	65.0077	2	65	2.23607	54.037	23	67.0298	13.0384	16.1245	16.1245	31.0161	14.0357	
