10
0	7.07107	6.40312	5.38516	9.21954	7	7	9.89949	2.23607	1	
7.07107	0	1	3	2.23607	5.38516	5.38516	2.82843	5	6.40312	
6.40312	1	0	2	2.82843	5.83095	4.47214	3.60555	4.24264	5.65685	
5.38516	3	2	0	4.47214	7.07107	2.82843	5.38516	3.16228	4.47214	
9.21954	2.23607	2.82843	4.47214	0	7.07107	6	1	7.07107	8.48528	
7	5.38516	5.83095	7.07107	7.07107	0	9.89949	7	6.32456	7.07107	
7	5.38516	4.47214	2.82843	6	9.89949	0	7	5.09902	6	
9.89949	2.82843	3.60555	5.38516	1	7	7	0	7.81025	9.21954	
2.23607	5	4.24264	3.16228	7.07107	6.32456	5.09902	7.81025	0	1.41421	
1	6.40312	5.65685	4.47214	8.48528	7.07107	6	9.21954	1.41421	0	
