10
0	5.65685	2.23607	4	7.81025	8.06226	6.32456	2	7.28011	3.16228	
5.65685	0	3.60555	4	2.23607	3	6.32456	4.47214	3.60555	5.09902	
2.23607	3.60555	0	3.60555	5.65685	5.83095	5	1	5.09902	2.23607	
4	4	3.60555	0	6.08276	7	8.48528	4.47214	7.28011	5.83095	
7.81025	2.23607	5.65685	6.08276	0	1.41421	7	6.40312	3.16228	6.7082	
8.06226	3	5.83095	7	1.41421	0	6.08276	6.40312	2	6.40312	
6.32456	6.32456	5	8.48528	7	6.08276	0	4.47214	4.12311	3.16228	
2	4.47214	1	4.47214	6.40312	6.40312	4.47214	0	5.38516	1.41421	
7.28011	3.60555	5.09902	7.28011	3.16228	2	4.12311	5.38516	0	5	
3.16228	5.09902	2.23607	5.83095	6.7082	6.40312	3.16228	1.41421	5	0	
