20
0	34	54	4	34	3	46	96	50	88	76	15	62	73	94	87	76	16	51	40	
34	0	39	59	43	4	45	45	45	31	50	47	54	19	24	67	65	79	89	79	
54	39	0	86	11	44	98	23	43	9	72	64	92	80	48	13	43	46	71	42	
4	59	86	0	15	1	54	70	9	65	78	32	17	28	19	57	100	75	47	94	
34	43	11	15	0	92	65	9	62	80	32	30	55	61	81	2	42	92	17	90	
3	4	44	1	92	0	55	28	69	89	2	94	89	88	66	15	53	74	44	63	
46	45	98	54	65	55	0	68	76	88	8	38	37	30	44	31	78	87	50	40	
96	45	23	70	9	28	68	0	96	21	58	62	42	36	48	1	17	70	67	74	
50	45	43	9	62	69	76	96	0	80	30	87	36	77	85	15	47	13	85	95	
88	31	9	65	80	89	88	21	80	0	42	99	77	12	75	96	52	85	41	69	
76	50	72	78	32	2	8	58	30	42	0	17	99	33	30	100	48	40	66	47	
15	47	64	32	30	94	38	62	87	99	17	0	96	43	75	95	43	40	99	19	
62	54	92	17	55	89	37	42	36	77	99	96	0	57	69	83	5	92	18	34	
73	19	80	28	61	88	30	36	77	12	33	43	57	0	69	8	12	9	71	61	
94	24	48	19	81	66	44	48	85	75	30	75	69	69	0	23	26	48	25	23	
87	67	13	57	2	15	31	1	15	96	100	95	83	8	23	0	67	99	65	54	
76	65	43	100	42	53	78	17	47	52	48	43	5	12	26	67	0	25	91	33	
16	79	46	75	92	74	87	70	13	85	40	40	92	9	48	99	25	0	61	32	
51	89	71	47	17	44	50	67	85	41	66	99	18	71	25	65	91	61	0	33	
40	79	42	94	90	63	40	74	95	69	47	19	34	61	23	54	33	32	33	0	
