80
0	72	22	48	96	90	79	99	41	46	21	31	59	90	99	32	68	78	23	41	47	98	99	57	47	31	57	57	96	41	79	72	6	55	66	22	52	36	78	78	64	3	39	94	75	89	54	28	75	85	47	26	71	99	82	73	67	61	95	79	81	59	58	6	39	5	91	28	70	10	95	28	18	55	15	65	15	1	44	54	
72	0	28	19	52	30	45	99	86	41	26	95	48	2	58	83	45	46	70	81	37	64	19	44	69	79	9	57	26	14	32	22	6	90	46	8	4	49	3	20	67	80	22	37	63	78	33	20	7	12	62	52	58	92	99	17	40	10	91	62	87	71	18	42	71	64	3	91	13	79	83	44	78	28	69	1	32	55	80	35	
22	28	0	9	40	33	94	20	43	49	9	72	81	5	5	98	74	32	2	99	20	57	13	66	48	26	39	67	68	36	100	23	49	12	52	6	82	17	22	67	40	79	50	94	67	15	88	68	49	40	5	46	50	21	29	63	52	40	34	4	4	79	65	53	8	45	82	86	6	39	60	85	49	67	97	93	98	36	59	84	
48	19	9	0	30	72	41	97	98	63	32	81	48	73	81	63	84	5	25	81	12	62	62	61	28	74	6	44	25	26	65	22	45	2	71	10	80	65	26	95	21	34	90	43	62	8	23	7	40	44	23	44	74	21	55	76	13	52	61	19	60	76	24	56	32	35	52	23	59	95	33	13	57	8	42	81	51	30	24	61	
96	52	40	30	0	20	42	5	56	4	8	78	66	75	87	76	35	46	4	2	3	100	44	1	45	63	1	26	17	63	7	40	76	40	63	78	11	88	36	59	47	48	88	6	95	11	49	65	91	35	68	20	63	67	89	95	43	16	97	92	73	44	12	5	15	47	99	30	75	24	46	14	89	44	57	40	60	34	24	56	
90	30	33	72	20	0	67	19	94	86	1	6	50	49	58	78	33	76	69	50	55	1	2	30	34	19	29	89	11	42	96	6	82	36	44	71	56	18	19	50	47	99	40	33	62	20	84	41	26	13	23	55	20	31	14	8	99	75	44	25	61	82	66	37	69	41	67	65	7	23	16	80	27	20	32	21	47	4	84	93	
79	45	94	41	42	67	0	32	64	85	6	11	76	78	64	32	82	52	94	42	55	2	76	20	59	38	42	56	54	5	61	38	28	58	16	43	40	38	91	43	44	94	38	19	52	26	20	67	85	49	2	19	84	25	97	16	88	96	45	70	99	78	46	20	96	93	20	43	72	71	89	54	94	87	1	89	18	43	55	81	
99	99	20	97	5	19	32	0	20	24	7	48	34	62	71	1	77	41	61	38	56	4	81	80	87	5	47	95	86	50	40	94	46	95	26	85	42	84	89	18	74	28	15	100	44	21	66	59	41	38	32	68	27	98	51	67	86	63	95	98	7	87	65	68	87	78	93	23	97	21	66	93	100	5	16	69	95	54	50	41	
41	86	43	98	56	94	64	20	0	42	5	45	83	56	85	1	61	41	22	43	38	38	43	46	41	66	89	98	7	31	34	70	24	1	95	13	33	75	58	59	37	40	33	72	69	28	67	45	18	15	6	18	21	16	17	1	60	82	10	53	28	67	52	77	29	74	3	57	93	43	8	93	41	84	63	97	20	2	30	29	
46	41	49	63	4	86	85	24	42	0	90	4	64	2	40	92	25	81	32	32	88	18	27	66	78	67	1	42	57	54	33	68	93	48	78	46	73	24	93	11	33	64	4	21	39	18	39	20	28	65	4	99	24	37	68	31	61	84	100	46	47	19	93	25	40	92	16	89	30	70	92	95	13	26	53	42	35	10	49	64	
21	26	9	32	8	1	6	7	5	90	0	25	35	93	24	20	34	67	39	27	37	53	26	95	20	97	99	61	86	22	33	98	65	45	1	21	90	5	95	88	34	92	25	68	38	19	74	3	86	28	42	18	100	30	69	12	5	56	45	76	60	34	56	38	62	96	50	17	98	92	2	59	98	70	83	50	50	38	6	97	
31	95	72	81	78	6	11	48	45	4	25	0	79	70	63	82	82	65	96	11	38	3	28	18	8	94	59	1	89	76	5	42	25	54	42	71	90	76	53	73	51	10	32	87	54	71	3	49	56	31	10	26	35	22	20	30	24	11	69	4	27	6	67	78	7	30	17	9	82	86	96	56	49	30	23	16	32	25	1	57	
59	48	81	48	66	50	76	34	83	64	35	79	0	92	72	12	23	89	17	32	68	34	69	100	89	38	90	80	92	52	98	20	83	63	32	43	60	20	64	40	92	47	81	1	94	64	32	89	98	46	12	84	33	28	16	60	94	100	20	27	85	28	72	34	71	31	29	67	23	72	14	70	20	89	6	29	18	7	26	86	
90	2	5	73	75	49	78	62	56	2	93	70	92	0	2	67	50	69	100	32	71	14	18	40	40	100	79	40	69	67	73	7	19	16	28	77	85	22	27	57	22	75	7	88	40	7	87	93	96	55	29	69	27	50	58	33	81	96	37	86	40	85	20	92	20	77	39	75	84	95	5	34	71	75	13	45	96	79	29	50	
99	58	5	81	87	58	64	71	85	40	24	63	72	2	0	66	18	84	90	76	11	33	5	29	23	99	3	79	42	4	68	13	78	29	71	93	14	75	86	78	74	98	9	51	50	69	80	32	36	14	53	82	34	27	95	86	24	54	23	76	50	45	33	26	89	17	67	22	27	84	96	59	20	40	12	33	65	74	69	14	
32	83	98	63	76	78	32	1	1	92	20	82	12	67	66	0	68	43	77	77	14	21	59	77	56	97	79	29	82	23	34	74	51	64	1	92	37	40	60	14	4	90	54	73	56	40	59	23	76	5	46	97	32	54	69	77	11	72	33	36	29	83	2	95	51	12	71	23	77	83	90	63	90	81	31	73	42	55	69	89	
68	45	74	84	35	33	82	77	61	25	34	82	23	50	18	68	0	64	14	12	13	100	58	13	52	92	32	51	65	44	29	15	11	74	15	47	39	30	10	50	77	84	87	39	3	40	40	34	94	78	61	91	2	45	33	59	84	71	44	92	90	3	91	100	31	91	68	59	99	9	16	48	53	31	67	38	36	86	6	76	
78	46	32	5	46	76	52	41	41	81	67	65	89	69	84	43	64	0	39	67	50	100	44	91	36	59	42	1	16	51	85	37	99	1	83	4	16	9	1	13	22	44	35	18	82	24	16	75	98	94	80	57	30	17	51	87	18	81	50	70	5	22	96	3	8	10	50	25	78	24	79	35	78	14	91	39	46	90	22	23	
23	70	2	25	4	69	94	61	22	32	39	96	17	100	90	77	14	39	0	15	72	24	84	92	23	42	33	28	41	84	77	10	32	5	48	35	67	34	43	18	36	2	90	63	51	37	26	14	26	72	43	89	42	37	52	41	98	75	60	40	71	72	59	43	37	61	77	91	64	21	50	49	5	42	19	14	57	80	56	18	
41	81	99	81	2	50	42	38	43	32	27	11	32	32	76	77	12	67	15	0	57	84	99	12	52	29	76	59	87	4	17	92	20	29	59	24	61	87	18	48	5	20	81	90	58	11	50	1	57	14	45	39	40	15	14	73	99	37	44	40	32	90	79	16	50	92	34	58	92	73	90	42	78	27	13	73	57	84	6	19	
47	37	20	12	3	55	55	56	38	88	37	38	68	71	11	14	13	50	72	57	0	88	81	80	64	61	57	5	19	61	49	85	24	43	33	15	2	39	49	7	20	54	81	69	70	55	22	25	78	94	14	64	92	36	82	94	97	78	6	44	95	67	36	3	25	63	33	81	76	49	8	79	71	99	72	57	87	21	4	42	
98	64	57	62	100	1	2	4	38	18	53	3	34	14	33	21	100	100	24	84	88	0	26	91	85	59	73	39	33	54	83	42	93	21	35	61	28	5	73	95	57	56	86	58	29	26	42	79	50	43	13	10	95	96	52	73	85	84	73	12	5	9	13	4	88	95	77	36	39	12	7	49	82	81	6	57	95	95	49	14	
99	19	13	62	44	2	76	81	43	27	26	28	69	18	5	59	58	44	84	99	81	26	0	15	42	97	40	1	22	68	28	6	90	68	90	91	74	23	18	29	8	81	98	66	79	12	96	17	47	46	53	39	75	16	21	42	27	78	77	83	32	63	77	75	50	62	55	68	78	25	99	89	25	1	41	33	39	51	72	7	
57	44	66	61	1	30	20	80	46	66	95	18	100	40	29	77	13	91	92	12	80	91	15	0	11	37	40	49	29	80	82	41	61	60	3	21	80	40	74	94	96	52	6	66	53	80	31	47	73	55	67	43	31	96	81	3	80	44	53	65	94	88	46	90	30	76	80	46	55	12	72	25	83	65	23	1	38	91	26	85	
47	69	48	28	45	34	59	87	41	78	20	8	89	40	23	56	52	36	23	52	64	85	42	11	0	1	91	2	58	36	68	58	24	23	54	16	15	81	100	62	6	10	17	58	80	96	1	56	9	24	54	2	11	50	7	32	85	80	11	49	88	74	61	38	25	63	19	33	79	7	85	41	41	6	71	96	93	72	45	40	
31	79	26	74	63	19	38	5	66	67	97	94	38	100	99	97	92	59	42	29	61	59	97	37	1	0	54	86	2	55	86	8	19	29	37	75	89	92	34	4	54	18	99	49	19	88	88	100	94	94	82	74	55	6	46	2	60	78	67	34	17	74	4	77	31	29	95	5	84	3	48	31	64	67	42	89	63	85	63	23	
57	9	39	6	1	29	42	47	89	1	99	59	90	79	3	79	32	42	33	76	57	73	40	40	91	54	0	51	3	91	97	12	47	83	72	68	81	97	15	7	39	59	92	95	8	88	83	89	29	2	62	57	13	50	42	18	8	12	85	97	7	94	48	14	29	3	78	7	65	61	6	5	38	100	30	4	43	11	9	91	
57	57	67	44	26	89	56	95	98	42	61	1	80	40	79	29	51	1	28	59	5	39	1	49	2	86	51	0	8	88	14	8	88	27	65	17	22	91	65	47	17	24	58	61	43	92	57	60	41	45	6	70	47	98	42	29	40	66	10	2	19	49	42	73	89	76	33	83	77	47	52	29	7	13	48	50	29	20	21	88	
96	26	68	25	17	11	54	86	7	57	86	89	92	69	42	82	65	16	41	87	19	33	22	29	58	2	3	8	0	23	37	5	95	91	7	53	22	76	19	2	66	95	86	47	49	74	38	83	72	2	14	73	83	52	69	30	68	76	12	53	26	54	67	48	94	72	37	63	44	24	79	59	20	82	47	65	47	5	25	74	
41	14	36	26	63	42	5	50	31	54	22	76	52	67	4	23	44	51	84	4	61	54	68	80	36	55	91	88	23	0	96	14	74	65	94	88	63	39	68	54	80	78	26	10	94	41	49	80	49	43	2	54	22	79	95	41	40	75	23	40	85	87	68	71	68	71	21	23	40	67	28	84	88	63	80	67	17	12	100	49	
79	32	100	65	7	96	61	40	34	33	33	5	98	73	68	34	29	85	77	17	49	83	28	82	68	86	97	14	37	96	0	91	42	80	72	24	82	20	20	53	29	10	73	34	29	91	19	20	76	9	93	17	67	90	2	51	13	29	66	73	12	81	69	99	11	7	13	36	49	13	44	29	56	19	58	59	34	65	52	41	
