10
0	6.32456	1.41421	5.09902	2.23607	2.82843	8.06226	3	5	3.60555	
6.32456	0	5.09902	8.60233	6.40312	4	9.21954	3.60555	6.7082	3	
1.41421	5.09902	0	6	3	1.41421	8.544	2.23607	5.38516	2.23607	
5.09902	8.60233	6	0	3	7.07107	3.60555	5.38516	2.23607	7.28011	
2.23607	6.40312	3	3	0	4.12311	5.83095	2.82843	2.82843	4.47214	
2.82843	4	1.41421	7.07107	4.12311	0	9.21954	2.23607	6.08276	1	
8.06226	9.21954	8.544	3.60555	5.83095	9.21954	0	7.07107	3.16228	9.05539	
3	3.60555	2.23607	5.38516	2.82843	2.23607	7.07107	0	4	2	
5	6.7082	5.38516	2.23607	2.82843	6.08276	3.16228	4	0	6	
3.60555	3	2.23607	7.28011	4.47214	1	9.05539	2	6	0	
