100
0	41	47	91	43	3	20	11	3	79	47	5	34	7	79	40	41	51	85	33	66	24	91	65	78	82	14	44	91	99	69	66	40	93	26	69	71	85	92	8	90	66	94	70	100	19	68	29	66	65	31	40	8	79	86	35	65	35	54	71	72	54	89	17	3	39	66	31	34	56	52	97	19	52	21	8	55	55	33	72	61	24	87	67	49	16	83	89	88	96	5	83	25	17	61	11	75	61	80	37	
41	0	86	81	25	82	48	64	99	95	57	23	11	90	100	91	77	33	15	43	19	84	97	63	100	40	38	55	42	35	12	12	35	37	29	43	18	39	27	4	89	4	51	82	13	74	93	40	48	22	16	19	66	22	45	69	67	94	80	57	64	25	39	80	92	45	13	48	9	29	10	38	11	66	62	14	55	64	43	77	4	11	78	62	39	49	52	18	17	58	65	96	94	57	42	89	66	69	40	54	
47	86	0	14	20	48	71	76	46	100	17	31	81	89	43	43	39	75	70	95	25	2	49	23	75	63	30	80	24	10	34	98	11	25	38	94	58	25	79	84	94	55	80	3	84	37	86	46	74	66	32	61	17	44	39	17	13	20	39	75	93	32	48	88	5	100	64	16	69	89	74	93	32	65	6	11	49	22	90	28	77	23	20	10	9	60	1	81	73	66	93	3	76	90	32	23	42	45	16	22	
91	81	14	0	56	88	68	52	71	20	93	68	60	12	38	86	71	66	30	17	57	64	49	30	78	84	74	31	34	38	88	47	75	55	30	89	36	2	44	68	84	91	15	30	82	7	56	15	8	67	73	35	34	2	71	30	52	65	24	68	66	26	56	34	55	45	29	76	32	11	27	2	74	97	41	56	22	43	66	93	68	78	51	24	87	88	21	74	7	23	33	94	88	36	50	74	58	72	58	8	
43	25	20	56	0	84	59	37	45	69	40	55	14	69	17	65	60	92	67	82	47	44	97	25	77	92	17	13	32	93	51	48	19	88	81	45	60	8	58	2	71	62	71	97	50	86	27	85	14	15	86	39	12	9	40	45	12	42	55	66	10	84	82	67	46	14	96	74	38	65	84	86	16	72	58	90	42	81	70	93	40	2	35	49	68	67	27	79	10	58	29	7	33	9	11	59	18	95	25	13	
3	82	48	88	84	0	94	58	78	88	74	79	49	16	82	10	74	95	17	11	95	90	67	45	65	60	92	3	79	75	77	61	49	16	60	23	25	17	53	7	46	78	94	59	40	69	3	6	68	65	78	96	96	28	73	16	94	27	69	65	93	95	93	46	8	30	84	47	34	96	15	5	98	94	82	17	47	2	40	44	78	80	18	73	87	49	52	63	86	22	46	96	12	11	74	79	96	28	29	46	
20	48	71	68	59	94	0	73	44	51	27	68	13	38	52	67	19	74	80	98	88	19	16	29	91	51	82	81	19	47	41	86	55	51	21	89	44	56	28	47	78	10	89	98	46	82	88	74	43	57	83	19	41	53	31	33	42	52	81	47	3	23	43	52	74	65	46	27	80	16	30	7	98	11	24	22	43	61	82	97	88	16	28	96	22	85	86	58	20	12	45	56	54	47	3	95	9	63	37	18	
11	64	76	52	37	58	73	0	9	86	79	20	23	15	35	42	22	75	17	13	48	52	7	87	92	3	71	82	84	30	69	41	28	86	51	49	17	99	22	35	2	65	35	4	98	25	10	61	72	53	70	12	40	72	52	15	75	86	12	96	53	78	98	4	12	93	45	31	40	34	42	80	9	46	51	26	16	50	14	11	17	79	47	36	68	25	44	32	35	71	24	71	100	70	14	42	68	83	40	38	
3	99	46	71	45	78	44	9	0	6	70	48	58	8	9	74	98	23	74	53	24	85	28	50	7	88	67	74	58	4	81	88	33	45	91	51	24	58	25	17	85	1	19	36	6	84	25	80	51	87	20	50	100	40	65	38	31	43	61	43	45	86	37	75	85	68	4	17	44	47	15	19	67	59	28	83	22	57	91	41	67	62	84	2	67	49	45	72	27	63	11	98	77	52	79	53	15	64	43	66	
79	95	100	20	69	88	51	86	6	0	68	71	68	82	98	70	90	40	76	87	26	54	73	86	76	51	89	17	17	35	67	62	94	99	70	11	70	86	59	50	48	64	22	37	61	75	37	44	69	3	67	97	7	82	46	21	70	52	26	84	48	7	34	77	30	46	8	43	2	99	1	62	4	55	36	19	25	89	28	73	3	17	90	89	37	46	44	45	22	5	74	94	3	29	98	95	10	24	71	28	
