20
0	64	18	8	4	9	29	20	97	45	61	14	52	80	25	16	62	73	50	30	
64	0	77	33	32	12	81	14	100	45	76	50	36	27	44	29	45	33	15	47	
18	77	0	32	74	75	96	92	4	60	60	7	98	79	58	79	41	84	74	67	
8	33	32	0	1	62	74	62	70	89	75	11	13	32	28	90	28	4	63	21	
4	32	74	1	0	37	21	62	55	63	71	35	25	45	40	52	90	80	65	54	
9	12	75	62	37	0	76	82	54	96	11	76	33	19	42	84	97	47	44	16	
29	81	96	74	21	76	0	75	5	49	79	81	30	17	43	15	42	88	95	95	
20	14	92	62	62	82	75	0	31	18	61	100	59	81	16	69	1	44	96	30	
97	100	4	70	55	54	5	31	0	83	90	18	39	48	88	38	16	4	8	50	
45	45	60	89	63	96	49	18	83	0	33	90	71	97	35	9	7	95	26	70	
61	76	60	75	71	11	79	61	90	33	0	56	63	49	35	43	74	87	13	17	
14	50	7	11	35	76	81	100	18	90	56	0	30	47	51	91	67	90	24	94	
52	36	98	13	25	33	30	59	39	71	63	30	0	72	27	81	29	9	56	97	
80	27	79	32	45	19	17	81	48	97	49	47	72	0	32	100	91	48	75	70	
25	44	58	28	40	42	43	16	88	35	35	51	27	32	0	83	51	23	23	88	
16	29	79	90	52	84	15	69	38	9	43	91	81	100	83	0	76	1	5	52	
62	45	41	28	90	97	42	1	16	7	74	67	29	91	51	76	0	92	37	64	
73	33	84	4	80	47	88	44	4	95	87	90	9	48	23	1	92	0	4	95	
50	15	74	63	65	44	95	96	8	26	13	24	56	75	23	5	37	4	0	52	
30	47	67	21	54	16	95	30	50	70	17	94	97	70	88	52	64	95	52	0	
