10
0	2.23607	8.544	9.48683	8.06226	5.38516	5	6.7082	6.32456	10.2956	
2.23607	0	6.32456	7.28011	6	3.16228	2.82843	4.47214	5	8.06226	
8.544	6.32456	0	1	2	3.16228	4	2	6.7082	2.23607	
9.48683	7.28011	1	0	2.23607	4.12311	5	3	7.61577	2	
8.06226	6	2	2.23607	0	3.16228	4.47214	2.82843	7.81025	4.12311	
5.38516	3.16228	3.16228	4.12311	3.16228	0	1.41421	1.41421	5	5	
5	2.82843	4	5	4.47214	1.41421	0	2	3.60555	5.38516	
6.7082	4.47214	2	3	2.82843	1.41421	2	0	5	3.60555	
6.32456	5	6.7082	7.61577	7.81025	5	3.60555	5	0	7.07107	
10.2956	8.06226	2.23607	2	4.12311	5	5.38516	3.60555	7.07107	0	
