150
0	92	6	44	42	25	98	26	79	19	98	84	58	65	94	1	86	52	35	26	25	82	7	27	14	99	40	3	34	25	55	63	70	39	49	30	95	37	70	44	43	43	59	80	38	43	34	28	35	29	21	90	33	29	26	89	2	70	2	29	47	1	59	35	95	15	56	29	24	75	39	48	71	55	32	11	4	34	97	27	67	62	67	3	89	51	48	58	13	84	27	2	88	52	7	48	79	75	24	77	13	11	10	20	20	21	43	21	8	4	79	35	97	88	91	13	40	59	51	82	57	4	43	95	59	4	91	90	81	5	85	36	72	69	39	46	17	75	21	83	64	99	66	28	89	12	75	26	30	53	
92	0	3	84	21	64	45	76	56	59	50	24	2	24	74	20	11	53	37	18	74	11	34	88	50	50	92	21	20	32	8	35	28	77	58	29	2	96	71	65	1	75	49	86	88	48	32	5	29	82	2	73	44	95	50	58	70	1	47	75	5	18	45	62	100	59	54	24	79	58	87	76	80	87	5	89	34	30	36	56	91	31	48	86	58	53	73	98	54	11	73	86	12	100	84	19	9	11	21	78	36	47	38	48	72	79	52	85	73	16	60	61	19	13	80	6	28	15	46	42	100	94	30	25	14	12	51	38	40	25	1	14	9	91	64	7	54	19	10	65	55	87	56	35	68	97	86	57	75	8	
6	3	0	15	14	95	41	36	72	34	49	16	77	11	77	63	57	7	14	12	5	93	59	25	30	71	91	74	15	51	67	10	2	98	56	26	93	88	92	26	16	100	75	45	55	1	91	58	74	85	45	68	51	21	95	55	51	93	41	36	92	42	87	48	14	9	82	32	84	25	3	87	81	92	86	14	74	14	8	60	42	11	70	82	13	62	11	49	45	70	79	100	55	80	6	79	36	65	48	20	83	13	82	60	2	63	74	65	35	19	14	59	9	98	14	11	46	73	35	43	100	97	51	60	43	61	86	8	89	64	5	48	41	85	82	73	56	80	67	76	21	11	83	100	98	1	34	47	99	33	
44	84	15	0	47	57	43	10	31	80	25	14	41	23	65	89	77	42	34	39	41	42	58	88	89	33	80	82	65	51	38	20	49	86	12	55	7	99	11	94	97	26	56	26	29	32	31	93	17	35	64	98	76	98	97	42	100	82	14	17	98	60	100	4	46	59	76	41	96	28	47	44	51	5	17	13	64	63	95	14	11	59	88	46	92	30	37	42	20	84	81	27	32	66	97	76	43	36	47	25	36	26	36	32	71	20	80	20	69	95	38	31	44	50	53	100	3	11	49	100	41	26	65	24	69	95	13	72	27	87	2	3	5	91	1	43	92	16	72	50	51	66	52	36	32	83	32	67	43	35	
42	21	14	47	0	45	73	16	6	7	9	24	89	74	5	78	89	41	61	89	12	43	40	86	73	82	7	4	94	96	98	28	100	56	83	94	14	10	64	31	86	71	13	29	13	47	33	80	17	55	53	66	92	65	63	89	39	17	83	99	20	75	64	10	79	43	81	54	82	4	17	8	3	80	28	96	51	38	63	49	21	61	23	23	29	16	64	69	1	46	3	56	71	1	94	28	5	69	52	1	57	94	93	61	61	78	10	89	38	96	40	97	51	62	45	95	97	16	8	94	49	93	86	15	61	25	93	60	30	39	84	97	81	21	59	44	32	71	40	52	32	8	58	36	61	59	53	4	65	92	
25	64	95	57	45	0	2	32	73	5	77	92	56	3	76	20	41	77	62	89	76	65	63	71	28	48	29	81	43	39	88	46	41	35	78	85	85	13	99	79	70	90	51	59	9	4	67	19	32	98	92	33	22	49	30	24	60	32	82	16	100	24	46	3	83	3	45	90	29	86	97	35	71	9	44	64	60	68	75	64	29	75	85	41	53	69	99	50	81	29	66	85	87	72	93	83	21	67	73	83	52	64	74	29	78	18	52	76	1	42	15	33	33	7	70	69	52	94	82	29	43	71	41	28	3	3	100	63	18	82	42	48	4	34	50	23	61	60	68	41	44	79	47	1	76	47	77	57	58	4	
98	45	41	43	73	2	0	75	72	70	15	31	34	42	40	20	81	45	1	28	17	47	29	56	78	30	36	47	92	88	42	11	8	98	7	29	61	28	14	15	25	86	41	53	9	74	15	11	79	7	63	36	2	66	20	36	91	95	6	1	74	86	100	60	58	38	22	78	85	6	49	85	95	54	52	86	75	32	69	83	59	80	33	97	99	65	52	46	16	69	53	75	17	42	96	53	23	73	52	69	86	92	44	46	95	7	45	38	66	28	14	20	63	44	98	72	21	67	45	86	15	3	49	8	31	48	15	67	75	87	82	9	62	1	36	5	27	13	71	78	4	66	5	48	25	78	71	47	26	86	
26	76	36	10	16	32	75	0	26	1	11	19	59	64	10	16	81	17	50	60	52	3	66	70	41	10	68	12	39	1	55	98	71	13	47	71	55	8	23	16	96	15	91	71	71	4	64	41	57	3	81	80	93	77	67	92	46	57	22	12	16	67	37	99	80	98	64	44	11	31	41	74	94	26	81	88	96	19	84	44	84	97	70	71	62	93	79	41	43	55	93	88	27	60	81	98	39	68	44	19	23	22	50	64	37	84	32	98	39	57	10	93	41	20	50	24	71	71	68	13	73	87	22	26	52	65	71	7	100	30	51	92	30	15	8	10	49	76	64	69	91	99	97	48	81	3	18	36	55	89	
79	56	72	31	6	73	72	26	0	48	26	8	17	39	40	30	90	35	94	52	72	49	29	1	74	86	19	89	39	29	68	37	15	51	17	99	22	40	39	10	93	49	50	99	86	50	19	89	69	53	79	63	58	38	28	55	53	39	89	65	20	11	69	84	44	59	64	96	98	46	5	53	54	82	39	39	13	85	55	19	72	21	69	68	33	10	95	41	38	69	2	18	11	94	46	65	79	57	72	48	62	62	2	60	37	75	3	56	62	46	71	93	90	15	89	80	16	97	36	31	44	95	59	36	80	26	80	36	46	98	10	70	58	18	41	30	37	4	70	25	42	64	69	14	79	95	87	86	8	23	
19	59	34	80	7	5	70	1	48	0	27	16	44	53	83	10	12	56	51	8	64	48	70	19	75	41	99	88	6	28	22	90	8	3	11	40	56	37	63	47	51	16	50	48	41	23	84	73	30	62	10	86	13	56	92	26	11	55	92	77	33	90	62	4	56	90	70	87	64	97	33	95	36	69	87	40	99	41	20	32	38	57	47	97	2	22	39	96	13	20	4	38	24	43	77	63	30	23	18	28	12	84	72	41	28	68	24	56	78	19	8	68	21	54	84	94	2	95	61	72	34	55	91	67	21	96	8	34	87	29	30	27	66	84	38	65	41	75	51	51	31	21	16	37	70	95	18	84	77	1	
98	50	49	25	9	77	15	11	26	27	0	92	43	12	22	8	79	28	69	51	58	58	68	20	3	88	3	41	57	30	8	93	10	41	60	32	98	25	90	45	68	88	90	21	100	90	5	17	86	4	66	18	18	88	64	2	69	70	59	82	14	63	57	45	36	16	30	28	24	3	45	64	70	22	52	56	44	25	26	16	89	41	39	44	71	32	9	29	60	94	58	44	75	20	72	41	90	97	8	67	22	99	70	49	1	95	1	24	83	87	70	70	12	91	57	82	13	58	60	57	69	78	14	33	82	58	43	47	28	15	55	27	76	17	4	70	1	52	59	7	32	54	89	83	2	3	2	9	15	10	
84	24	16	14	24	92	31	19	8	16	92	0	3	10	79	62	97	39	87	81	85	4	25	99	77	10	48	78	82	72	100	64	4	7	12	54	67	94	32	16	76	47	89	13	63	83	31	80	22	39	19	67	82	84	81	35	100	1	32	77	46	67	15	99	59	77	54	54	21	48	98	34	93	44	88	34	25	73	89	34	85	65	41	78	82	35	22	45	94	7	4	86	63	39	25	86	96	57	95	2	65	58	86	90	83	2	4	21	75	17	76	79	70	33	63	81	1	1	29	72	85	22	41	25	69	39	27	48	3	75	78	90	49	38	75	43	93	71	4	31	31	17	36	72	68	15	30	25	19	1	
58	2	77	41	89	56	34	59	17	44	43	3	0	77	57	8	24	99	91	64	25	16	37	52	42	88	91	15	40	31	13	50	25	61	67	43	13	75	28	30	30	1	5	48	56	59	35	14	78	5	27	16	55	38	97	59	28	85	52	45	22	15	16	68	54	59	9	61	83	19	23	13	59	1	89	100	22	66	2	9	72	59	18	90	22	33	5	96	51	68	33	50	74	74	97	38	6	85	50	100	41	16	29	94	62	69	61	19	27	40	51	76	10	7	63	16	94	31	96	79	84	41	6	5	58	17	27	36	79	67	61	71	4	79	47	65	91	15	50	81	67	17	65	47	15	95	70	91	70	17	
65	24	11	23	74	3	42	64	39	53	12	10	77	0	67	8	18	21	88	20	40	71	7	54	24	78	22	92	24	3	72	66	46	87	59	63	41	91	28	38	69	15	27	43	92	6	44	32	35	96	6	70	85	93	32	96	12	26	94	38	57	81	24	22	50	14	40	35	87	75	80	49	2	32	67	37	30	27	13	81	97	94	33	27	100	94	90	54	36	98	47	21	31	25	92	3	13	60	54	39	43	79	26	24	63	49	33	63	97	79	90	36	26	49	88	31	59	11	1	33	40	83	68	17	73	38	83	98	61	96	8	13	18	67	65	28	60	79	81	83	41	40	85	58	92	40	31	54	72	68	
